Days,Mactual,Mpred,Tactual,Tpred
1,77.62376238,,77.29941292,
2,44.01513643,,50.53242982,
3,55.31828351,,47.00258913,
4,51.64034022,,46.06181456,
5,51.14674244,,39.1908976,
6,52.50549012,67.54117,43.63037662,69.26932
7,50.34232783,62.39553,44.22803814,61.41155
8,60.10280743,57.03408,52.89421158,54.55493
9,55.06106396,52.48897,52.70863836,46.83849
10,53.54944604,49.23366,103.5618695,41.84423
11,52.42436801,46.0459,45.05994212,38.06385
12,49.00332226,46.50977,45.33166979,37.76268
13,45.6402,45.6402,37.7687,37.7687
14,49.86981774,44.67947,45.27162978,53.32828
15,49.5818399,43.75077,45.52652415,49.23004
16,71.93535672,42.15497,66.89029203,45.94957
17,72.21379833,40.00635,65.45105566,41.04394
18,73.85303991,39.66903,66.56465187,39.30481
19,71.46897982,39.51679,65.14913658,38.10931
20,68.66197183,46.30235,61.6317746,43.71039
21,52.32699,52.32699,48.22308,48.22308
22,58.03622,58.03622,52.51187,52.51187
23,63.94211967,62.20471,55.46875,55.7993
24,63.07361843,64.8827,57.77864533,57.56103
25,61.5656963,62.20017,58.57170656,55.02923
26,56.20958382,61.56946,54.19103314,54.1543
27,56.1996463,62.76599,52.6936689,54.30857
28,57.4397177,63.48619,51.51395989,55.14815
29,63.48619,63.60172,56.11035,56.11035
30,53.58534684,62.04659,50.38378272,55.61514
31,53.39017458,60.68277,49.94944388,54.74127
32,60.46511628,59.87407,52.19617885,53.64732
33,61.83001531,60.99236,57.09754163,54.1084
34,58.96662,58.96662,52.79934,52.79934
35,57.17985,57.17985,51.57348,51.57348
36,57.79712,57.79712,51.23433,51.23433
37,58.75377,58.75377,52.45265,52.45265
38,58.7216,58.7216,52.23075,52.23075
39,58.16472,58.16472,51.69684,51.69684
40,57.88471,57.88471,51.1655,51.1655
41,57.94594,57.94594,51.1073,51.1073
42,58.00144,58.00144,51.02108,51.02108
